ip,forecast_7d_total_volume,forecast_avg_sent_ratio,forecast_avg_risk,forecast_max_daily_volume
198.12.123.237,160392082,0.0,1.983142857142857,37790578
198.12.123.239,94914348,0.0,2.0,22200648
198.12.123.227,94913612,0.0,1.9857142857142858,22200452
198.12.123.247,94911775,0.0,2.0,22200055
198.12.123.245,94911285,0.0,2.0,22199925
198.12.123.243,24341730,0.767,0.733,3477390
198.12.123.241,24341730,0.32,1.4,3477390
198.12.123.249,24341730,1.0,0.6,3477390
198.12.123.251,24341730,1.0,0.6,3477390
198.12.123.253,24341625,0.933,0.667,3477375
144.31.117.11,23879765,0.926,0.846,3411395
144.31.117.98,23879765,1.0,0.769,3411395
144.31.138.131,23879583,1.0,0.846,3411369
144.31.139.61,23879583,1.0,0.769,3411369
144.31.117.123,23879583,1.0,0.846,3411369
144.31.117.149,23879583,1.0,0.846,3411369
144.31.139.217,23879583,1.0,0.769,3411369
135.125.140.52,10382344,1.0,0.5681428571428572,2064166
107.6.171.227,8569190,0.04828571428571428,1.9482857142857142,1251395
107.6.171.228,8569169,0.06399999999999999,1.933142857142857,1251392
107.6.171.230,8569106,0.15342857142857144,1.8868571428571428,1251383
51.254.12.41,8019418,1.0,0.6324285714285713,1515629
138.226.244.76,7207879,0.992,0.013714285714285715,1070197
217.182.198.9,6040470,1.0,0.5182857142857143,1056231
135.125.140.51,6040470,1.0,0.5182857142857143,1056231
135.125.140.36,6040470,0.9959999999999999,0.5182857142857143,1056231
192.227.72.165,6039728,0.9881428571428571,0.5182857142857143,1056125
51.254.12.38,6020014,0.995,0.5182857142857143,1051480
51.254.12.39,6019862,1.0,0.5182857142857143,1051445
51.254.12.40,6019862,1.0,0.5182857142857143,1051445
142.147.96.125,5951176,1.0451428571428572,0.06771428571428571,1059988
192.227.72.168,5854928,0.985,0.5182857142857143,1029725
23.231.25.47,4887785,1.4028571428571428,0.03457142857142857,1003379
23.231.25.57,4887638,1.381,0.03342857142857143,1003347
23.231.25.49,4834732,1.0,0.09514285714285715,988804
23.231.25.51,4834732,1.0,0.09514285714285715,988804
23.231.25.52,4834662,1.0005714285714284,0.09514285714285715,988788
23.231.25.54,4834655,1.0005714285714284,0.09514285714285715,988787
23.231.25.53,4834655,1.0005714285714284,0.09514285714285715,988787
23.231.25.58,4834594,1.0005714285714284,0.09514285714285715,988774
23.231.25.56,4834592,1.0005714285714284,0.09514285714285715,988772
23.231.25.55,4834592,0.995,0.09514285714285715,988772
23.231.25.59,4834576,1.0,0.09514285714285715,988772
23.231.25.61,4834557,1.0,0.09514285714285715,988769
23.231.25.62,4834548,1.0,0.09514285714285715,988768
198.12.123.228,4179280,0.7,1.2,597040
198.12.123.229,4179210,0.72,1.2,597030
198.12.123.230,4179210,0.862,1.0,597030
198.12.123.235,4179210,0.9,1.0,597030
198.12.123.234,4179210,0.9,1.0,597030
142.147.96.124,3841395,0.689,1.881,832363
158.69.54.111,3144757,0.7315714285714285,1.427,548851
91.223.3.150,3064091,1.3801428571428571,0.011142857142857144,471284
91.223.3.186,3064073,1.3822857142857143,0.02542857142857143,471281
91.223.3.187,3064073,1.3822857142857143,0.011142857142857144,471281
91.223.3.189,3064056,1.382,0.015571428571428571,471279
91.223.3.194,3064056,1.3822857142857143,0.011142857142857144,471279
91.223.3.195,3064042,1.3815714285714285,0.03014285714285714,471277
91.223.3.196,3064033,1.3780000000000001,0.028285714285714286,471276
91.223.3.197,3064033,1.3822857142857143,0.011142857142857144,471276
91.223.3.198,3064033,1.3791428571428572,0.016857142857142855,471276
91.223.3.199,3064011,1.2492857142857143,0.014714285714285713,471273
91.223.3.204,3064011,1.2002857142857142,0.019142857142857145,471273
91.223.3.200,3064011,1.2002857142857142,0.014714285714285713,471273
91.223.3.208,3064011,1.2002857142857142,0.014714285714285713,471273
91.223.3.209,3064002,1.1778571428571427,0.014714285714285713,471272
198.12.123.242,2600290,0.785,1.0,371470
198.12.123.246,2600290,1.0,0.8,371470
198.12.123.252,2600290,1.0,0.8,371470
51.161.79.217,2477643,0.479,1.477,427050
194.54.185.171,2439864,0.507,1.375,348552
194.54.185.178,2439808,1.0,0.875,348544
194.54.185.173,2439808,1.0,0.875,348544
194.54.185.177,2439808,0.792,1.125,348544
194.54.185.180,2439808,1.0,0.875,348544
194.54.185.184,2439808,1.0,0.875,348544
194.54.185.185,2439808,1.0,0.875,348544
194.54.185.189,2439808,1.0,0.875,348544
194.54.185.183,2439808,1.0,0.875,348544
194.54.185.182,2439808,1.0,0.875,348544
194.54.185.181,2439808,1.0,0.875,348544
194.54.185.188,2439808,1.0,0.875,348544
194.54.185.187,2439808,1.0,0.875,348544
194.54.185.179,2439808,1.0,0.875,348544
194.54.185.172,2439808,0.924,1.0,348544
138.226.244.75,2189047,1.2798571428571428,0.08685714285714285,323749
51.68.222.162,2073267,0.338,1.9048571428571428,344556
51.75.164.228,2073246,0.9427142857142857,1.031,344553
142.147.96.123,1910412,0.5732857142857143,1.4154285714285713,395772
138.226.244.74,1678130,0.5858571428571429,0.8827142857142858,482302
138.226.244.77,1632260,0.9858571428571429,1.176,237776
89.116.64.219,1624882,0.833,1.215,605336
89.116.64.240,1624870,0.803,1.3005714285714285,605333
89.116.64.220,1624870,0.7264285714285714,1.390857142857143,605333
89.117.12.14,1624858,0.838,1.2937142857142858,605331
144.31.84.7,1512000,1.0,1.0,216000
5.135.75.180,1369090,0.028714285714285716,1.9495714285714285,206244
23.82.139.242,1068361,0.10842857142857143,1.8855714285714285,168223
89.117.12.28,813987,0.929,1.179857142857143,411506
89.117.12.18,813978,0.869,1.2325714285714287,411506
23.19.114.9,749644,0.10928571428571429,1.8868571428571428,109192
5.135.75.181,484164,0.0,2.0,258738
142.147.96.126,461171,0.8607142857142858,1.0872857142857142,308373
107.6.171.226,347200,0.005,2.0,52338
89.117.12.8,321840,0.795,1.4000000000000001,168408
5.135.75.177,315147,0.7995714285714285,0.21357142857142855,228456
198.12.123.250,291940,0.03471428571428571,1.95,258720
198.12.123.254,291940,0.046,1.95,258720
198.12.123.248,291940,0.0,2.0,258720
198.12.123.240,291880,0.0,2.0,258708
198.12.123.238,291860,0.0,2.0,258702
198.12.123.244,291860,0.0,2.0,258700
198.12.123.236,291840,0.0,2.0,258698
89.117.12.9,223645,0.967,1.2861428571428573,159733
89.117.12.48,211148,1.0,1.125,153483
107.6.171.229,198562,0.142,1.55,31104
89.117.12.45,157148,1.0,1.125,126483
89.117.12.21,157145,0.9270000000000002,1.2152857142857143,126483
89.117.12.26,157110,0.9720000000000001,1.127,148644
192.227.72.167,140000,1.0,0.0,20000
5.135.75.179,129253,0.408,1.2129999999999999,110798
69.162.64.213,116274,1.0,0.0,116274
5.135.75.178,90503,0.07914285714285715,1.8551428571428572,40216
51.75.165.100,21000,1.0,1.0,3000
51.75.165.108,21000,1.0,1.0,3000
69.162.64.212,20592,0.40785714285714286,1.5642857142857143,20592
173.236.32.74,0,0.9997142857142858,0.09528571428571429,0
173.236.32.78,0,1.0,1.0,0
173.236.32.77,0,1.003,0.09528571428571429,0
173.236.32.76,0,1.003,0.09528571428571429,0
69.162.64.210,0,1.0,0.0,0
69.162.64.214,0,1.0,0.0,0
